Subject,Body,label
"Nguyễn Thành Chương sent a message to the group conversation ""CS-DMZ"".","Hi Tài,  Nguyễn Thành Chương sent a message in reply to a thread.  Thanks, The Facebook team    ======================================== This message was sent to jaycedang0601@gmail.com. If you don't want to receive these emails from Meta in the future, please follow the link below to unsubscribe. https://www.facebook.com/o.php?k=AS0y4eh_NSIWi0QdGPA&u=61550245542793∣=6345000847e26G37fac8857b89G634504a1a80f8G0ⅇ=Af9o9qLoLv3wIcXd1KyPx1LnclswqHI0Y-EmxG2-KGjwX8cdnx3BWIHf7ZBE-9nIEwpjZnmgBDj53LvHgPptYVo Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025 To help keep your account secure, please don't forward this email. Follow the link below to learn more. https://www.facebook.com/email_forward_notice/?mid=6345000847e26G37fac8857b89G634504a1a80f8G0",-1
Codeforces Round 1023 (Div. 2),"Hello, Jayceee1. Welcome to the regular Codeforces round.  I'm glad to invite you to take part in Codeforces Round 1023 (Div. 2). It starts on Monday, May, 5, 2025 14:35 (UTC). The contest duration is 2 hours 15 minutes. The allowed programming languages are C/C++, Pascal, Perl, Java, C#, Python (2 and 3), Ruby, PHP, Haskell, Scala, OCaml, D, Go, JavaScript and Kotlin.  Problems are prepared by auiunu, NahC0el and sunkuangzheng. Don't miss the round!  The round will be held on the rules of Codeforces, so read the rules (here and here) beforehand.  It will be for newcomers or participants from the second division (non-rated users or those having less than 2100 rating points). Want to compete? Do not forget to register for the contest and check your handle on the registrants page. The registration will be closed 5 minutes before the contest.  Register Now →  If you have any questions, please feel free to ask me on the pages of Codeforces. If you no longer wish to receive these emails, click https://codeforces.com/unsubscribe/contests/51474b72d79ac8ec8363936f1ca54cbe6dbb957a/ to unsubscribe.  Wish you high rating, MikeMirzayanov and Codeforces team",-1
[25% Off] The Force is strong with this deal 👀,"May the 4th be with you -----------------------  *************** 25% Off Premium ***************  For a limited time only, get a 25% discount on TryHackMe annual premium plans!  Subscribe Now ( https://tryhackme.com/why-subscribe?utm_source=customerio&utm_medium=email&utm_campaign=may4 )       It's Star Wars day, and to celebrate, we're offering you a 25% discount on a TryHackMe annual subscription!*  Grab it before it expires!  Discount applies automatically at checkout.  ( https://tryhackme.com/why-subscribe?utm_source=customerio&utm_medium=email&utm_campaign=may4 )     -------------------------------- Why become a Premium subscriber? --------------------------------    ( https://tryhackme.com/why-subscribe?utm_source=customerio&utm_medium=email&utm_campaign=may4 )Subscribe Now ( https://tryhackme.com/why-subscribe?utm_source=customerio&utm_medium=email&utm_campaign=may4 )  Discord ( https://discord.com/invite/tryhackme )Twitter ( https://twitter.com/RealTryHackMe )Instagram ( https://www.instagram.com/realtryhackme/ ) LinkedIn ( https://www.linkedin.com/company/tryhackme/ )YouTube ( https://www.youtube.com/@RealTryHackMe ) Terms ( https://tryhackme.com/terms ) | Unsubscribe ( http://track.customer.io/unsubscribe/dgTK1QUDAO_7kgHu-5IBAZabSaU4SaSkUcIncvyxGA== )  Copyright © TryHackMe. All rights reserved.  *Discount valid only for free and monthly premium members, not for existing annual Premium subscribers. Applies exclusively to annual plan purchases and cannot be combined with other discounts, including student offers.",-1
"💙 50% off Calm (for your good, bad and ugly days)","If you can’t have a good day, just have a day. That’s good too.͏ ‌   ͏ ‌   ͏ ‌    ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌    ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏  ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌    ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌    ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏  ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌    ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌    ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏  ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌    ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌    ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏  ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌   ͏ ‌              Week of May 04  The road to better mental health is filled with ups and downs    Are you having one of those days where you feel like you can take on the  world? Or the kind where getting out of bed feels impossible? Or maybe you’re  feeling “blah” and don’t know why?   All of these highs, lows, and in-betweens are just a part of your unique  mental health journey. And it really is a journey.   In honor of Mental Health Awareness Month, we want to remind you that no  matter how fast or slow your progress feels today, you don’t need to be  anywhere other than right here (in all its messy, imperfect glory).   Just keep putting one foot in front of the other.    Give your mental health a boost with Calm — now 50% off  Celebrate Mental Health Awareness Month with 50% off Calm annual  subscriptions. Get all the tools you’ll need for your mental health journey,  now more affordable than ever.   Get 50% off now     New series for moms to help cultivate connection & get support      Jennifer Wallace, journalist and author, offers actionable tools to help moms  build resilience as caregivers and create a greater sense of community. These  bite-sized sessions are designed to listen to on the go, whether you’re sitting  in the driveway or hiding from your kids in the bathroom.   Unlock to listen     Calm to the Rescue  Content to help you take care of your mental health    Navigating the ups and downs        Daily Jay: Your Hero's Journey  Jay Shetty    As you progress on your mental health journey, it's completely normal to have  both great and not-so-great moments. Listen to this session to connect with how  obstacles and struggles are an essential part of our story.     Unlock with 50% Off     For when you're feeling behind        Daily Trip: Slow Burn  Jeff Warren    We’ve all set out to build a good habit like meditation, only to get  sidetracked by a new show or social media. If that sounds familiar, this  session offers a fresh way to refocus and stay on track.     Unlock with 50% Off    Calm Life         These 10 mental health goals will help you improve your wellbeing   Learn how setting mental health goals can improve your mental and emotional  wellbeing. Plus, 10 examples of mental health goals and how to create your own.     10 daily journal prompts to boost your mental health   Discover why daily journaling is a beneficial self-care practice on the  journey to better mental health and how to do it. Plus, 10 journal prompts,  topics, and ideas to get you started.      Keep this in mind     Remember: Slow and steady wins the mental health “race.” Small steps, deep  breaths. Reflect: How is your mental health feeling from 1-10? What could bump you up a  point? Reframe: I’m falling behind. → Mental health isn’t linear. Ups and downs are  part of the journey.    Inhale ease, exhale stress            Have a question? Visit our Help Center   This email was sent to jaycedang0601@gmail.com as a registered user of  Calm.com, Inc.  555 Bryant Street, Suite 262, Palo Alto, CA 94301 <> Unsubscribe from email offers",-1
Cảnh báo bảo mật,"[image: Google] Ai đó mới đăng nhập tài khoản   jaycedang0601@gmail.com Chúng tôi phát hiện thấy mới có một yêu cầu đăng nhập vào Tài khoản Google của bạn. Nếu đây là yêu cầu của bạn, thì bạn không phải làm gì thêm. Nếu đây không phải là yêu cầu của bạn, thì chúng tôi sẽ giúp bạn bảo mật tài khoản. Kiểm tra hoạt động  Bạn cũng có thể xem hoạt động bảo mật tại https://myaccount.google.com/notifications Chúng tôi gửi email này để thông báo cho bạn biết về những thay đổi quan trọng đối với Tài khoản Google và dịch vụ của bạn. © 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA",-1
Your project eng-gate-423901-b9 has been shut down,"Project Permanent Deletion Warning   Dear Developer,  Your Google Cloud project eng-gate-423901-b9 was shut down on May 04, 2025   3:05:07 AM UTC.  Shut-down projects and the data stored in them may be recovered for a   limited time before the projects are permanently deleted. If you'd like to   recover your project, you must cancel the project's permanent deletion   before June 03, 2025 3:05:07 AM UTC.  To recover your shut-down project:  Visit the Resources pending deletion page. Select the project you want to recover, and click Restore. In the confirmation dialog, click Restore.   If you cannot recover your project by following the instructions above, you   can try restoring it using the gcloud undelete command.  If you take no action by June 03, 2025 3:05:07 AM UTC, you will be unable   to recover your project.  If you have any questions, please visit Google Cloud Platform Resource   Manager Documentation or contact Google Cloud Platform Support.  Cordially, The Google Cloud Platform Team   © 2025 Google LLC. 1600 Amphitheatre Parkway, Mountain View, CA 94043  You have received this mandatory email service announcement to update you   about important changes to your Google project, product or account.",-1
"Trần Long sent a message to the group conversation ""CS-DMZ"".","Hi Tài,  Trần Long sent a message in reply to a thread.  Thanks, The Facebook team    ======================================== This message was sent to jaycedang0601@gmail.com. If you don't want to receive these emails from Meta in the future, please follow the link below to unsubscribe. https://www.facebook.com/o.php?k=AS0Ugag614MDrBgC4og&u=61550245542793∣=63445fa032dcdG37fac8857b89G634464399309fG0ⅇ=Af-o_9D6GPb1D-LlcLCGIwAmm50P9hVRYRWLegrSL8AqPzKelt4MSiuQpd9LPv78ldtcKOyOiM2EMMvrbmvhEPw Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025 To help keep your account secure, please don't forward this email. Follow the link below to learn more. https://www.facebook.com/email_forward_notice/?mid=63445fa032dcdG37fac8857b89G634464399309fG0",-1
🏆Mastering RCE: How I Exploit Remote Code Execution Bugs Like a Pro | Abhijeet Kumawat in InfoSec Write-ups,"Stories for Jaycelati0n @jaycedang0601 (https://medium.com/@jaycedang0601?source=email-01ce982f528e-1746299197498-digest.reader-------------------------57e3adb8_7df7_4762_bb85_69161b9e6716) ·Become a member (https://medium.com/plans?source=email-01ce982f528e-1746299197498-digest.reader-------------------------57e3adb8_7df7_4762_bb85_69161b9e6716)  Today's highlights  Abhijeet Kumawat (https://medium.com/@Abhijeet_kumawat_?source=email-01ce982f528e-1746299197498-digest.reader-7b722bfd1b8d-ddcc816552bf----0-109------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1) inInfoSec Write-ups (https://medium.com/bugbountywriteup?source=email-01ce982f528e-1746299197498-digest.reader-7b722bfd1b8d-ddcc816552bf----0-109------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  🏆Mastering RCE: How I Exploit Remote Code Execution Bugs Like a Pro Free Article Link  4 min read 158 4  George Dillard (https://medium.com/@worldhistory?source=email-01ce982f528e-1746299197498-digest.reader--18b196ae3899----1-108------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  Free AI Will Cost Us There's no such thing as a free lunch… or a free…  8 min read 520 16  Frost (https://medium.com/@frost1?source=email-01ce982f528e-1746299197498-digest.reader-7b722bfd1b8d-bb515d560bcf----2-98------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1) inInfoSec Write-ups (https://medium.com/bugbountywriteup?source=email-01ce982f528e-1746299197498-digest.reader-7b722bfd1b8d-bb515d560bcf----2-98------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  Powerful Linux Tricks That Will Change Your Life If you've ever worked in a Linux environment, you know…  11 min read 610 9  CyferNest Sec (https://medium.com/@cyfernest?source=email-01ce982f528e-1746299197498-digest.reader--b1443a78cb15----3-98------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  TryHackMe: The Ultimate Guide to Cybersecurity for Beginners (and Pros Who Love Puzzles)  3 min read 35  Eric H (https://medium.com/@erichdryn?source=email-01ce982f528e-1746299197498-digest.reader--d732dc1393c5----4-98------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  ICTF 2025 Writeup ICTF 2025 Writeup - 10th Place :D  17 min read  Cybersec with Hemmars (https://medium.com/@cybersechemmars?source=email-01ce982f528e-1746299197498-digest.reader-2983bc435765-7ffe44fccf1e----5-109------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1) inOSINT Team (https://medium.com/the-first-digit?source=email-01ce982f528e-1746299197498-digest.reader-2983bc435765-7ffe44fccf1e----5-109------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  My Virtual HomeLab: Active Directory - Part One Downloading the Domain Controller and the Clients  5 min read 57  Rusty (https://medium.com/@rustybladez?source=email-01ce982f528e-1746299197498-digest.reader--1a303d29a6e5----6-83------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  Huntress CTF 2024 Writeups (Warmups and other easy ones) Hey hackers. This is my first time doing a writeup. So…  48 min read 9  CyferNest Sec (https://medium.com/@cyfernest?source=email-01ce982f528e-1746299197498-digest.reader--2920f601e167----7-98------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  Compromised Windows Analysis | TryHackMe Walkthrough Introduction  4 min read 1 1  Abhijeet Kumawat (https://medium.com/@Abhijeet_kumawat_?source=email-01ce982f528e-1746299197498-digest.reader-7b722bfd1b8d-bbae13df9a83----8-98------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1) inInfoSec Write-ups (https://medium.com/bugbountywriteup?source=email-01ce982f528e-1746299197498-digest.reader-7b722bfd1b8d-bbae13df9a83----8-98------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  🏴‍☠️The Ultimate Subdomain Enumeration Guide: Tools, Tricks, and Hidden… 🔥Free Article Link  4 min read 247 10  Cybersec with Hemmars (https://medium.com/@cybersechemmars?source=email-01ce982f528e-1746299197498-digest.reader-2983bc435765-0f8192b10814----9-109------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1) inOSINT Team (https://medium.com/the-first-digit?source=email-01ce982f528e-1746299197498-digest.reader-2983bc435765-0f8192b10814----9-109------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  My Virtual HomeLab: pfSense GUI Configuration Configuring pfSense for my HomeLab  13 min read 110  CyferNest Sec (https://medium.com/@cyfernest?source=email-01ce982f528e-1746299197498-digest.reader--12f342004990----10-98------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  c4ptur3-th3-fl4g CTF | TryHackMe CTF Walkthrough You can access the c4ptur3-th3-fl4g room on TryHackMe…  4 min read 1  David S Mosher (https://medium.com/@davidsmosher?source=email-01ce982f528e-1746299197498-digest.reader-7b722bfd1b8d-2e4f2eb5966d----11-102------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1) inInfoSec Write-ups (https://medium.com/bugbountywriteup?source=email-01ce982f528e-1746299197498-digest.reader-7b722bfd1b8d-2e4f2eb5966d----11-102------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  Why I Chose a Cybersecurity Masters in Science Degree Over the CISSP… 4 Reasons for choosing the MS Degree over the CISSP  6 min read 198 10  TheMindShift (https://medium.com/@themindshift?source=email-01ce982f528e-1746299197498-digest.reader-e1fb1e18c8c3-8dba13b9253f----12-73------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1) inLet's Code Future (https://medium.com/lets-code-future?source=email-01ce982f528e-1746299197498-digest.reader-e1fb1e18c8c3-8dba13b9253f----12-73------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  10 AI Tools That Replace a Full Dev Team (Almost) The future isn't coming - it's already here. And it's…  5 min read 2.2K 88  Raymond Van Wart (https://medium.com/@raymondv?source=email-01ce982f528e-1746299197498-digest.reader--91fd922dcee0----13-98------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  1753 CTF 2025 Writeup This was my second time participating in 1753 CTF. The…  3 min read 16  CyferNest Sec (https://medium.com/@cyfernest?source=email-01ce982f528e-1746299197498-digest.reader--dd6bfcfe1506----14-98------------------57e3adb8_7df7_4762_bb85_69161b9e6716-1)  GREP CTF | TryHackMe CTF Walkthrough You can access the Grep room on TryHackMe here.  6 min read 1  See more of what you like and less of what you don't. Control your recommendations (https://medium.com/me/missioncontrol?source=email-01ce982f528e-1746299197498-digest.reader-------------------------57e3adb8_7df7_4762_bb85_69161b9e6716)  Read from anywhere.  Sent by Medium (https://medium.com/?source=email-01ce982f528e-1746299197498-digest.reader-------------------------57e3adb8_7df7_4762_bb85_69161b9e6716) ·3500 South DuPont Highway, Suite IQ-101, Dover, DE 19901 Unsubscribe (https://medium.com/me/email-settings/01ce982f528e/fcc4044c77a9?type=social&source=email-01ce982f528e-1746299197498-digest.reader-------------------------57e3adb8_7df7_4762_bb85_69161b9e6716)  from this type of email·Switch to the Weekly Digest (https://medium.com/me/email-settings/01ce982f528e/fcc4044c77a9?type=social&preference=2&source=email-01ce982f528e-1746299197498-digest.reader-------------------------57e3adb8_7df7_4762_bb85_69161b9e6716) ·Careers (https://medium.com/jobs-at-medium/work-at-medium-959d1a85284e?source=email-01ce982f528e-1746299197498-digest.reader-------------------------57e3adb8_7df7_4762_bb85_69161b9e6716) ·Help Center (https://help.medium.com/hc/en-us?source=email-01ce982f528e-1746299197498-digest.reader-------------------------57e3adb8_7df7_4762_bb85_69161b9e6716) ·Privacy Policy (https://policy.medium.com/medium-privacy-policy-f03bf92035c9?source=email-01ce982f528e-1746299197498-digest.reader-------------------------57e3adb8_7df7_4762_bb85_69161b9e6716) ·Terms of service (https://policy.medium.com/medium-terms-of-service-9db0094a1e0f?source=email-01ce982f528e-1746299197498-digest.reader-------------------------57e3adb8_7df7_4762_bb85_69161b9e6716)",-1
Are you the “T. Đặng” mentioned in Chemistry papers?,"Dear Tài,  The name “T. Đặng” was mentioned in a Chemistry paper uploaded to Academia.  Follow the link below to see all of your mentions:  https://www.academia.edu/keypass/a2xpWWE1eFRDaWJTaDAzQ2FUbXF6TTBpdFJiZXdqbDBOM2NaanBuMjdkbz0tLWFsbkZwaE04UmtZbCtPOTJySGpEbkE9PQ==--66519e58ceb6e6cd40847bfe10c1c43b257bc0c7/t/vPCnk-SyPHz7s-yVRxn/upgrade?feature=name_mentions&mentions_color=ri%3AChemistry&trigger=new-name-mentions  -----  Follow the link below to disable these notifications:  https://academia.edu/keypass/a2xpWWE1eFRDaWJTaDAzQ2FUbXF6TTBpdFJiZXdqbDBOM2NaanBuMjdkbz0tLWFsbkZwaE04UmtZbCtPOTJySGpEbkE9PQ==--66519e58ceb6e6cd40847bfe10c1c43b257bc0c7/t/vPCnk-SyPHz7s-yVRxn/confirm_unsubscribe/new_mentions  Academia.edu, 580 California St., Suite 400, San Francisco, CA, 94104",-1
New login to X from 10.95.0 on Android,X  We noticed a login to your account @JxyceDang from a new device. Was this you?  New login  Location  Unknown location *Location is approximate based on the login's IP address.  Device          10.95.0 on Android  If this was you You can ignore this message. There's no need to take any action.  If this wasn’t you  Complete these steps now to protect your account.  Change your password. You'll be logged out of all your active X sessions except the one you're using at this time. > https://twitter.com/account/confirm_email_reset?reset_type=e&password_reset_cause=login_notification&user_id=1765320886432006144&token=YmFutUWCfOMhgKhE6wkm4OzEVsPtfn2YWCPpldojfBQ%3D-1746296442360&token_version=0&confirm_pending_email=0  Review the apps that have access to your account and revoke access to any unfamiliar apps. Learn more. > https://help.x.com/managing-your-account/connect-or-revoke-access-to-third-party-apps  > https://x.com/settings/applications,-1
